name	label	label-fr	schema	dc-element	dc-qualifier	type	legacy_marc	obligation	repeatable	range_label	range_url	range_values	configuration	indexes	definition
dcterms_rightHolder	Patent applicant(s)	Demandeur(s)	dcterms	rightHolder		descriptive		requiredWhenAvailable	true	String			researchoutputs	dcterms.rightHolder	Description coming soon...
dc_date_created	Created date	Date de création	dc	date	created	administrative	039_9y	automatic	false	Date			researchoutputs	dateCreated, dc.date.created	Description coming soon...
dc_date_accessioned	Accessioned date	Date d'ajout	dc	date	accessioned	administrative		automatic	false	Date			researchoutputs	dc.date.accessioned	Description coming soon...
dc_date_modified	Modified date	Date de modification	dc	date	modified	administrative	005 or 039_9a	automatic	false	Date			researchoutputs	lastModified, dc.date.modified	Description coming soon...
dc_date_issued	Date issued or Publication date	Date de diffusion	dc	date	issued	descriptive	260__c, 269__a	requiredWhenAvailable	false	Date			researchoutputs	dateIssued, dc.date.issued	Description coming soon...
dc_date_accepted	Accepted date	Date acceptée	dc	date	accepted	administrative	920__b	optional	false	Date			researchoutputs	dc.date.accepted	Description coming soon...
epfl_patent_date	Patent Date	Date du brevet	epfl	patent	date	descriptive	013__d	requiredWhenAvailable	true	Date			researchoutputs	epfl.patent.date	Description coming soon...
dcterms_dateAccepted	Patent Priority date	Date (priorité)	dcterms	dateAccepted		descriptive		optional	true	Date			researchoutputs	dcterms.dateAccepted	Description coming soon...
dcterms_dateSubmitted	Patent Application Date	Date (demande)	dcterms	dateSubmitted		descriptive		optional	true	Date			researchoutputs	dcterms.dateSubmitted	Description coming soon...
epfl_thesis_publicDefenseYear	Public defense year	Année de défense publique	epfl	thesis	publicDefenseYear	descriptive	920__a	requiredWhenAvailable	false	Date (year)			researchoutputs	epfl.thesis.publicDefenseYear	Description coming soon...
dc_language_iso	Language	Langue	dc	language	iso	descriptive	041__a	recommended	true	ISO code list (common_iso_languages)		en,fr,de,it,ja,zh,other	researchoutputs	language, dc.language.iso	Description coming soon...
dc_publisher	Publisher or Institution name	Institution	dc	publisher		descriptive	260__b	optional	false	String			researchoutputs	publisher, dc.publisher	Description coming soon...
dc_publisher_place	Publisher place or Institution place	Lieu d'édition	dc	publisher	place	descriptive	260__a	optional	false	String			researchoutputs	dc.publisher.place	Description coming soon...
dc_relation_journal	Journal title	Titre de la revue	dc	relation	journal	descriptive	773__t	requiredWhenAvailable	false	String or Journal authority or Sherpa Romeo Registry			researchoutputs	journal, container, dc.relation.journal	Description coming soon...
dc_relation_issn	ISSN	ISSN	dc	relation	issn	descriptive	022__a	requiredWhenAvailable	true	ISSN			researchoutputs	dc.relation.issn	Description coming soon...
dc_relation_ispartof	Book Title or Is part of or Source name	Publié dans (ouvrage, etc.)	dc	relation	ispartof	descriptive	773__t	requiredWhenAvailable	false	String			researchoutputs	dc.relation.ispartof	Description coming soon...
dc_relation_doi	DOI (of the book)	DOI (de l'ouvrage)	dc	relation	doi	descriptive		requiredWhenAvailable	false	DOI identifier			researchoutputs	dc.relation.doi	Description coming soon...
dc_relation_isbn	ISBN (of the book)	ISBN  (de l'ouvrage)	dc	relation	isbn	descriptive		requiredWhenAvailable	true	ISBN			researchoutputs	dc.relation.isbn	Description coming soon...
